id_estudiante,nombre,genero,grado,asistencia,nota_matematicas,nota_ciencias,nivel_socioeconomico,actividad_extracurricular,tiene_beca
EST-089,Alexandra Barco Gaya,F,9.0,96.6,3.4,3.5,Bajo,Música,0
EST-090,Saturnino Báez Olmo,M,6.0,97.9,4.5,4.4,Bajo-Bajo,Robótica,0
EST-091,Sonia Mercader,M,6.0,100.0,3.7,5.0,Medio-Bajo,Arte,0
EST-092,Epifanio Pareja Mármol,F,6.0,94.9,3.3,5.0,Bajo,Ninguna,0
EST-093,Leonel Jorge Taboada Carballo,F,10.0,100.0,5.0,3.6,Bajo-Bajo,Ninguna,1
EST-094,Felisa Morcillo Alba,F,6.0,99.5,1.5,4.5,Medio-Bajo,Deportes,0
EST-095,Estrella Baños Vicens,F,6.0,91.5,5.0,2.7,Medio-Bajo,,0
EST-096,Gervasio Comas Estévez,F,8.0,100.0,3.3,5.0,Bajo-Bajo,Música,0
EST-097,Casandra Calzada Verdugo,F,11.0,96.6,3.9,3.4,Bajo,Robótica,0
EST-098,Quique Riera Oller,M,,90.8,3.4,5.0,Medio,Música,0
EST-099,Rosalva Ledesma Coca,M,8.0,100.0,5.0,3.1,Bajo,Música,1
EST-100,Juan Antonio Marí-Reyes,M,6.0,100.0,2.5,5.0,Medio,Robótica,0
EST-101,Febe Tena,M,8.0,94.8,4.0,4.5,Bajo,Arte,0
EST-102,Ceferino Seguí Nuñez,F,9.0,92.5,5.0,3.2,,Ninguna,1
EST-103,Abel Mateo Comas,M,9.0,94.1,2.1,4.9,Bajo,Robótica,0
EST-104,Gabino Mariscal Lasa,F,7.0,98.6,3.3,3.6,Bajo-Bajo,Robótica,1
EST-105,Magdalena Cózar Puga,F,7.0,100.0,3.8,4.9,Medio,Música,0
EST-106,Juan Font-Cabo,M,6.0,97.9,3.3,3.9,Medio,Robótica,1
EST-107,Seve Galván-Carrillo,M,8.0,95.5,3.0,2.3,Medio,Ninguna,0
EST-108,Florencia Cabrera,F,6.0,100.0,3.6,3.2,Medio-Bajo,Arte,0
EST-109,Priscila Ríos,M,10.0,93.4,4.8,3.8,Medio-Bajo,Robótica,0
EST-110,Pacífica Encarnación Cervantes Gálvez,M,11.0,100.0,3.6,5.0,Medio-Bajo,Robótica,0
EST-111,Adela Palacio Enríquez,M,11.0,93.6,5.0,5.0,Medio-Bajo,Robótica,1
EST-112,Palmira Nicolás-Batlle,M,11.0,97.2,2.8,5.0,Bajo,Ninguna,0
EST-113,Bernabé Duran-Lerma,F,9.0,94.4,2.5,5.0,Bajo,Ninguna,0
EST-114,Maricela Clemente Borrell,F,10.0,94.7,5.0,3.5,Medio-Bajo,Ninguna,0
EST-115,Baudelio Casanova Quesada,F,7.0,93.1,3.2,3.8,Medio-Bajo,Ninguna,0
EST-116,Teófila Conesa-Codina,F,9.0,100.0,2.4,3.6,Medio-Bajo,Ninguna,0
EST-117,Narcisa Valverde López,F,8.0,91.3,1.9,3.5,Medio-Bajo,Robótica,0
EST-118,Inmaculada Borrás Murcia,M,8.0,91.3,5.0,2.4,Bajo,Música,0
EST-119,Íñigo Pulido Boada,F,10.0,100.0,3.6,4.2,Medio-Bajo,Música,0
EST-120,Adolfo Sotelo Vilaplana,F,7.0,99.9,4.1,2.7,Medio,,1
EST-121,Melania Olalla Torralba Cabañas,F,7.0,83.1,3.3,3.9,Bajo-Bajo,Arte,0
EST-122,Urbano Franco Coronado,F,11.0,92.2,5.0,5.0,Medio,Deportes,0
EST-123,Sebastian Cerezo Solano,M,6.0,85.9,3.3,3.4,Bajo,Arte,0
EST-124,Ema del Guzman,M,8.0,90.2,5.0,4.4,Medio-Bajo,,1
EST-125,Consuelo Araceli Pareja Rozas,M,11.0,79.3,3.7,,Medio,Música,0
EST-126,Gonzalo Martí Agudo,M,9.0,94.3,5.0,4.3,Bajo,Ninguna,0
EST-127,Valentina Fuster Ureña,F,9.0,89.3,4.5,4.2,Bajo,,0
EST-128,Cándido Querol Porcel,F,7.0,95.3,4.0,3.6,Bajo,,0
EST-129,Mariano Isern,M,7.0,86.9,2.8,3.7,Bajo-Bajo,Robótica,0
EST-130,Fausto de Luz,F,11.0,95.4,4.8,3.2,Bajo,Robótica,1
EST-131,Amancio de Mena,M,9.0,92.9,4.6,5.0,Bajo,Música,0
EST-132,Etelvina Alsina Morales,M,8.0,100.0,3.3,2.5,Medio,,0
EST-133,Albino Tejero Mosquera,M,6.0,100.0,4.6,5.0,Bajo-Bajo,Ninguna,1
EST-134,Zoraida Ledesma Santos,M,6.0,98.9,5.0,2.8,Bajo,Robótica,0
EST-135,Pascuala Garzón Valera,F,11.0,93.4,5.0,5.0,Medio,Arte,0
EST-136,Manola Llano Ferrera,M,8.0,100.0,5.0,3.8,Medio,Deportes,0
EST-137,Galo Pardo Millán,F,9.0,87.2,5.0,,Medio-Bajo,,1
EST-138,Danilo Bueno Botella,F,6.0,88.0,2.7,4.5,Medio-Bajo,Música,0
EST-139,Úrsula Vera Fiol,M,9.0,94.6,4.8,4.9,Bajo,,0
EST-140,Feliciana Aguirre Nadal,O,11.0,100.0,5.0,3.6,Bajo,Ninguna,0
EST-141,Telmo del Valderrama,O,9.0,94.0,2.9,4.7,Bajo-Bajo,Ninguna,0
EST-142,Jeremías Pou Bustos,M,6.0,94.1,3.4,1.9,Medio-Bajo,,0
EST-143,Florinda Cañete Fabregat,F,9.0,87.8,5.0,2.6,Bajo,Deportes,1
EST-144,Carmina Nazaret Mendez Iniesta,M,10.0,99.7,2.8,5.0,Medio-Bajo,Robótica,0
EST-145,Gil Paz Álvaro,M,8.0,99.8,2.8,3.8,Bajo,Ninguna,1
EST-146,Fernando Fonseca Ibáñez,M,11.0,98.9,5.0,2.3,Bajo,Robótica,0
EST-147,Micaela Álvarez-Maza,F,9.0,91.9,5.0,3.3,Medio-Bajo,Ninguna,1
EST-148,Aroa Cepeda Gual,F,11.0,91.5,4.9,3.3,Medio-Bajo,Deportes,1
EST-149,Purificación Aragón Trillo,M,9.0,88.5,3.4,3.5,,Ninguna,0
EST-150,Eloy Uriarte Lillo,M,6.0,95.4,3.5,,Bajo,Robótica,0
EST-151,Carmen Moya,F,7.0,89.6,4.2,4.1,Bajo-Bajo,Música,1
EST-152,Paulina del Barco,M,7.0,89.1,5.0,3.6,Bajo-Bajo,Ninguna,0
EST-153,Claudia de Salmerón,M,11.0,92.9,4.3,5.0,Medio-Bajo,Ninguna,0
EST-154,Lucila Anguita Alvarez,F,10.0,92.6,,4.6,Bajo-Bajo,Música,1
EST-155,José Luis Boada Bru,O,9.0,92.3,2.9,4.5,Bajo-Bajo,Ninguna,0
EST-156,Bernarda Comas Bermúdez,M,7.0,97.3,4.0,5.0,Medio,Música,0
EST-157,Ileana Melero Zapata,F,6.0,95.4,4.0,3.8,Bajo,Deportes,1
EST-158,Calixto Beltran Pintor,F,10.0,93.6,2.7,2.9,Bajo-Bajo,Robótica,0
EST-159,Fidela Nereida Ferrán Domingo,M,8.0,95.9,3.8,5.0,Bajo-Bajo,Robótica,0
EST-160,Glauco Pujol Toro,F,7.0,90.0,4.0,4.0,Bajo-Bajo,,0
EST-161,Leonor Gallo Pizarro,M,9.0,95.5,4.6,4.3,Bajo,Robótica,0
EST-162,Seve Córdoba Flores,F,6.0,95.8,5.0,3.6,Medio-Bajo,Arte,1
EST-163,Fortunata de Guerra,F,7.0,87.5,4.5,3.1,Medio-Bajo,Ninguna,1
EST-164,Lorena Bustamante Estrada,F,8.0,,5.0,5.0,Bajo-Bajo,Deportes,0
EST-165,Horacio Pla Peláez,M,6.0,90.6,4.5,5.0,Medio-Bajo,Música,1
EST-166,Felicidad Ferrando Ródenas,F,11.0,95.5,5.0,5.0,Bajo,Deportes,0
EST-167,María Ángeles Luís,M,7.0,100.0,5.0,4.8,Bajo,Ninguna,0
EST-168,Noelia Costa Conesa,M,6.0,99.6,4.6,4.6,Medio-Bajo,Ninguna,0
EST-169,Araceli Eloísa Cabanillas Rueda,M,7.0,95.2,2.8,4.1,Bajo,Ninguna,0
EST-170,Rafael Paco Godoy Rubio,F,10.0,93.2,3.3,4.0,Bajo-Bajo,Arte,0
EST-171,Graciela Esteban,F,8.0,99.7,4.3,5.0,Medio-Bajo,Robótica,0
EST-172,Cruz Bravo Alberto,M,9.0,98.4,4.5,3.8,Bajo,Arte,0
EST-173,Jose Manuel Larrea Franch,F,6.0,91.9,4.8,4.4,Bajo,Ninguna,0
EST-174,Candelario Marqués Valera,M,6.0,91.0,,3.2,Medio-Bajo,Ninguna,1
EST-175,Jimena Garmendia,F,8.0,84.6,3.9,3.0,Medio-Bajo,Ninguna,1
EST-176,Danilo Reguera Terrón,M,10.0,95.8,3.6,4.0,Medio-Bajo,Música,1
EST-177,Guillermo Múñiz Abella,F,11.0,94.6,4.5,3.4,Bajo-Bajo,Deportes,0
EST-178,Florentino Solana Llanos,M,6.0,100.0,5.0,5.0,Bajo,,0
EST-179,Elías Cobo-Buendía,F,,96.8,5.0,2.9,Bajo-Bajo,Arte,0
EST-180,Jaime Rovira-Solís,M,11.0,100.0,4.6,4.1,Medio-Bajo,,0
EST-181,Alfonso Busquets-Arnaiz,M,8.0,91.5,5.0,4.3,Bajo,Música,0
EST-182,Brígida Espinosa Fonseca,M,10.0,100.0,3.6,2.4,Medio-Bajo,Deportes,0
EST-183,Rubén Morcillo Suárez,F,6.0,92.4,3.4,3.6,Bajo-Bajo,Ninguna,0
EST-184,María Ángeles Alcolea,F,11.0,98.9,3.5,4.3,Bajo-Bajo,,1
EST-185,Jorge Figueroa,M,10.0,87.7,3.3,4.3,Bajo,Robótica,0
EST-186,Vito Cabrero Cañas,F,11.0,96.2,3.5,3.8,Medio,Ninguna,0
EST-187,Noa Marcia Fernandez España,F,9.0,85.1,4.9,4.6,Medio,Arte,0
EST-188,Amaya Esteban,F,8.0,93.7,3.4,4.1,Medio-Alto,Arte,0
EST-189,Leocadia Monreal Giménez,F,11.0,97.2,3.0,4.2,Bajo,Deportes,0
EST-190,Lorena Muro,M,7.0,92.4,5.0,4.5,Bajo-Bajo,Deportes,0
EST-191,Gabriel Baños,M,7.0,89.7,3.4,4.6,Bajo,Ninguna,1
EST-192,Leonor Carro-Morán,F,10.0,99.2,4.2,3.3,Medio-Bajo,Ninguna,0
EST-193,María Jesús Carpio Benavente,F,10.0,94.5,4.5,3.7,Bajo-Bajo,Deportes,0
EST-194,Berta Canals Cárdenas,F,11.0,92.6,2.6,3.5,Bajo,Música,0
EST-195,Reina Escolano-Durán,M,7.0,95.2,5.0,3.9,Bajo-Bajo,Música,0
EST-196,María Belén Sala Garzón,M,10.0,100.0,4.8,,Bajo,Deportes,0
EST-197,David Sevilla Madrid,F,10.0,100.0,,4.8,Bajo,Robótica,0
EST-198,Samuel de Quiroga,F,6.0,100.0,3.2,2.9,Bajo-Bajo,Ninguna,0
EST-199,Xavier Mayo,F,8.0,97.2,4.5,3.6,Bajo,Deportes,1
EST-200,Juana Bayón Hernandez,F,7.0,95.8,4.0,4.6,Bajo,,0
EST-201,Gustavo de Salvà,F,7.0,83.0,3.8,,Medio-Bajo,Deportes,0
EST-202,Sebastian Leocadio Riera Chamorro,M,11.0,91.6,2.3,3.5,Medio-Bajo,Robótica,0
EST-203,Nerea Fidela Valle Urrutia,M,9.0,92.6,4.1,5.0,Bajo-Bajo,Ninguna,0
EST-204,Florentino de Peralta,F,10.0,85.6,1.8,3.1,Medio-Bajo,Ninguna,0
EST-205,Efraín Lisandro Alemany Ochoa,F,11.0,89.2,3.9,4.9,Bajo-Bajo,Deportes,0
EST-206,Víctor Boada Parejo,M,8.0,85.1,1.4,5.0,Bajo,Música,1
EST-207,Horacio Nicolás Pla,M,10.0,94.8,1.8,3.5,Medio-Bajo,,0
EST-208,Modesto Puente Asenjo,F,8.0,99.1,5.0,3.3,Medio,Robótica,0
EST-209,Fidel Frías,M,11.0,100.0,3.3,3.9,Medio-Bajo,Música,0
EST-210,Milagros Acedo Villaverde,M,6.0,97.1,3.2,2.9,Bajo-Bajo,Ninguna,1
EST-211,Amalia Pinilla Bellido,F,11.0,90.2,5.0,4.3,Bajo,Robótica,0
EST-212,Berto Vicente-Chico,F,7.0,85.3,3.9,3.5,Bajo,Ninguna,0
EST-213,Consuelo Expósito Tejero,F,7.0,86.2,4.5,4.3,Bajo,Robótica,0
EST-214,Felicia Balaguer Donoso,M,10.0,88.7,3.3,5.0,Bajo-Bajo,Música,0
EST-215,Gilberto Jover Pujadas,F,8.0,90.6,5.0,4.8,Bajo,Ninguna,0
EST-216,Severiano Peralta Gimenez,M,9.0,94.2,3.3,4.7,Bajo-Bajo,Robótica,0
EST-217,Amor Galvez Losa,M,8.0,89.9,5.0,1.9,Medio-Bajo,Robótica,0
EST-218,Flavio Aparicio Maestre,F,10.0,96.7,4.3,4.4,Medio-Bajo,,1
EST-219,Ruperta Iriarte-Hervás,F,7.0,93.8,2.0,5.0,Bajo-Bajo,Arte,0
EST-220,Edgardo de Ibañez,F,6.0,95.1,4.6,1.3,Medio,Ninguna,0
EST-221,Tito Almeida Pinilla,F,7.0,100.0,4.4,4.9,Medio-Bajo,Música,0
EST-222,Fabiola Carreño-Girona,F,8.0,89.1,2.2,3.5,Bajo,Ninguna,0
EST-223,Valentín Bruno Verdú Madrid,M,6.0,97.1,2.9,3.4,Bajo-Bajo,Deportes,0
EST-224,Encarna Tamarit-Vives,M,8.0,94.9,4.4,5.0,Medio-Bajo,Arte,1
EST-225,Néstor del Ledesma,M,8.0,93.3,4.4,5.0,Bajo,Robótica,0
EST-226,Ignacia Flor Palomares,M,6.0,99.4,1.9,5.0,Medio,Deportes,1
EST-227,Carolina Pomares Báez,O,9.0,99.4,5.0,3.6,Bajo-Bajo,,0
EST-228,Marina Blanca Espinosa,M,11.0,90.3,3.8,3.1,Bajo-Bajo,Ninguna,1
EST-229,Espiridión Coll Alegre,F,6.0,94.1,2.4,4.3,Medio,Robótica,0
EST-230,Olalla del Samper,F,9.0,96.4,5.0,5.0,Medio,Robótica,0
EST-231,Isabel del Sanmiguel,F,9.0,93.6,4.0,3.8,Bajo-Bajo,Robótica,0
EST-232,Graciano Toño Cabeza Antúnez,F,8.0,97.9,5.0,3.9,Medio-Bajo,Robótica,0
EST-233,Nilda Almansa Carpio,F,10.0,96.4,4.5,5.0,Bajo,Robótica,0
EST-234,Teodora Esther Caparrós Puig,F,8.0,100.0,4.0,5.0,Medio-Bajo,Deportes,0
EST-235,Reyes del Morán,M,8.0,87.3,3.7,4.9,Medio-Bajo,Ninguna,1
EST-236,Alejandra del Pedro,F,6.0,94.4,5.0,2.5,Bajo-Bajo,Ninguna,1
EST-237,Pedro Zorrilla-Abril,M,10.0,90.5,3.9,3.5,Bajo,Robótica,1
EST-238,Sarita Margarita Espinosa Salmerón,M,9.0,98.0,3.0,4.3,Bajo-Bajo,Robótica,0
EST-239,María Teresa Rey Grande,F,6.0,86.9,4.6,2.7,Bajo-Bajo,Ninguna,1
EST-240,Sara de Piñeiro,M,8.0,96.7,3.8,5.0,Bajo-Bajo,Ninguna,0
EST-241,Apolonia Rios Abella,F,11.0,91.8,4.0,5.0,Medio-Bajo,,0
EST-242,Macario Ibáñez Zorrilla,O,8.0,91.3,5.0,3.5,Bajo,Ninguna,0
EST-243,Rolando Agustín Luna,F,8.0,87.8,3.4,5.0,Bajo,Deportes,0
EST-244,Amada Teófila Canales Cabezas,M,11.0,92.7,,4.0,Medio-Bajo,Ninguna,0
EST-245,Maxi Casal Osorio,M,10.0,100.0,3.3,5.0,Bajo,Ninguna,0
EST-246,Perla Asensio Guillén,F,9.0,94.9,4.5,4.3,Bajo,Robótica,0
EST-247,Baltasar Arnal Alcaraz,M,10.0,98.1,4.8,4.8,Bajo-Bajo,Arte,1
EST-248,Reina Caparrós,O,11.0,100.0,5.0,5.0,Medio-Bajo,Música,1
EST-249,Wilfredo Ramírez Perelló,O,,96.3,3.3,5.0,Bajo-Bajo,Robótica,0
EST-250,Olegario del Viñas,F,8.0,92.2,3.5,4.5,Medio-Bajo,,0
EST-251,Lilia Méndez Mancebo,M,8.0,97.3,5.0,4.1,Bajo,Robótica,1
EST-252,María Carmen Pino Figuerola,M,11.0,92.3,4.3,4.5,Medio-Bajo,,0
EST-253,Flora Bayo Gracia,,10.0,92.5,3.3,3.4,Medio-Bajo,Música,1
EST-254,Amor Pinilla González,M,6.0,87.4,5.0,4.1,Medio-Bajo,Música,1
EST-255,Antonio Luján Merino,M,11.0,99.6,2.0,2.9,Bajo,Ninguna,0
EST-256,René Peñalver Clavero,F,8.0,93.1,4.9,2.2,Bajo,Ninguna,0
EST-257,Leticia del Alvarez,F,6.0,95.9,2.9,4.3,Medio-Bajo,Deportes,1
EST-258,Javi Rojas Madrigal,F,9.0,89.8,5.0,5.0,Bajo-Bajo,Música,1
EST-259,Rolando Piquer Figueroa,F,8.0,97.2,2.1,5.0,Bajo-Bajo,Deportes,0
EST-260,Celestino Adán-Mendez,M,11.0,91.2,5.0,3.9,Medio-Bajo,Ninguna,0
EST-261,Graciana Tenorio Sanmiguel,F,7.0,94.3,3.9,,Medio-Bajo,Música,0
EST-262,Luna Hernando,O,10.0,99.4,3.6,,Bajo,Ninguna,0
EST-263,Teófilo Carbó Esparza,M,9.0,99.0,4.6,2.1,Medio-Bajo,Ninguna,1
EST-264,Vicente Tur Arroyo,F,6.0,94.9,5.0,2.0,Medio-Bajo,,1
EST-265,Leonardo Pánfilo Losada Anguita,F,11.0,86.2,2.4,2.7,Bajo-Bajo,Deportes,0
EST-266,Tristán del Cárdenas,F,8.0,100.0,3.0,5.0,Medio-Bajo,,0
EST-267,Eugenia del Carreño,F,7.0,100.0,5.0,3.6,Medio-Bajo,,1
EST-268,Pascual Viana-Aliaga,F,8.0,98.6,2.0,4.7,Medio-Alto,Música,0
EST-269,Candelario Soriano Alsina,M,11.0,91.2,3.3,5.0,Bajo-Bajo,Robótica,0
EST-270,Ana de Oller,M,7.0,94.4,5.0,3.1,Medio-Bajo,Deportes,0
EST-271,Angelino Pedro Zapata,F,7.0,92.3,2.8,4.7,Bajo,,0
EST-272,Julie Soria-Cuéllar,F,6.0,100.0,5.0,4.7,Bajo-Bajo,,1
EST-273,Dulce de Vega,F,7.0,96.3,3.7,3.3,Medio-Bajo,Robótica,1
EST-274,Toño Emigdio Tomás Sancho,F,10.0,91.1,4.6,5.0,Bajo-Bajo,Robótica,0
EST-275,Desiderio Losa Riquelme,F,8.0,92.6,4.8,3.9,Bajo,Deportes,0
EST-276,Pablo Goñi Morán,F,7.0,100.0,5.0,3.6,Bajo,Ninguna,0
EST-277,Maximino Riba,F,6.0,100.0,3.8,5.0,Bajo,Ninguna,0
EST-278,Vanesa de García,F,7.0,100.0,5.0,4.7,Bajo,,1
EST-279,Lope Naranjo Serra,F,11.0,98.8,3.3,5.0,Bajo,Deportes,0
EST-280,Américo Sancho Urrutia,F,7.0,93.7,4.7,5.0,Medio-Bajo,Robótica,1
EST-281,Jessica de Paredes,F,11.0,78.8,3.8,3.0,Bajo,Ninguna,0
